_SAPPCTXT_HEADER_               002 7500 CHART PL 1404 27.04.2017-23:49 OK 
25301                           022 "Oú g≥Ûwna"
25302                           029 "Oú kategorii (X)"
25303                           026 "Oú wartoúci (Y)"
25304                           027 "Oú szeregÛw (Z)"
25305                           024 "Oú pomocnicza"
25306                           029 "Oú kategorii (X)"
25307                           025 "Oú wartoúci (Y)"
25400                           019 "WyrÛwnanie"
25401                           021 "WyrÛwnanie"
25500                           014 "Linia"
25501                           014 "Linia"
25502                           020 "Automatycznie"
25503                           016 "Zdef. przez uø."
25504                           017 "Rodzaj:"
25506                           017 "Kolor:"
25508                           030 "G≥Ûwny rodzaj kreski"
25509                           015 "Brak"
25510                           016 "Wewnπtrz"
25511                           017 "Na zewnÍtrz"
25512                           015 "Poziomy"
25513                           030 "Pomocniczy rodzaj kreski"
25514                           015 "Brak"
25515                           016 "Wewnπtrz"
25516                           017 "Na zewnÍtrz"
25517                           015 "Poziomy"
25518                           026 "Etykiety kresek osi czasu"
25519                           015 "Brak"
25520                           013 "Niski"
25521                           014 "Wysoki"
25522                           022 "Blisko osi"
25523                           016 "Prognoza"
25600                           014 "Osie"
25601                           024 "Seria danych odn. siÍ do"
25602                           023 "Oú g≥Ûwna"
25603                           025 "Oú pomocnicza"
25700                           019 "Wskaünik b≥Ídu"
25701                           017 "Wyúwietlanie"
25703                           022 "IloúÊ b≥ÍdÛw"
25704                           023 "Sta≥a wartoúÊ:"
25705                           021 "WartoúÊ procentowa:"
25706                           029 "Odchylenie standardowe:"
25707                           024 "B≥πd standardowy:"
25708                           017 "Dopasowanie:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "Linie siatki"
25801                           028 "Oú kategorii (X)"
25802                           026 "SieÊ g≥Ûwna"
25803                           026 "SieÊ pomocnicza"
25804                           025 "Oú wartoúci (Y)"
25805                           026 "G≥Ûwne linie siatki"
25806                           026 "Pomocnicze linie siatki"
25807                           026 "Oú szeregÛw (Z)"
25808                           026 "G≥Ûwne linie siatki"
25809                           026 "Pomocnicze linie siatki"
25810                           028 "Oú kategorii (X)"
25811                           026 "SieÊ g≥Ûwna"
25812                           026 "SieÊ pomocnicza"
25813                           025 "Oú wartoúci (Y)"
25814                           026 "G≥Ûwne linie siatki"
25815                           026 "Pomocnicze linie siatki"
25816                           022 "Oú g≥Ûwna"
25817                           024 "Oú pomocnicza"
25900                           014 "Linia"
25901                           020 "Automatycznie"
25902                           017 "Zdef. przez uøyt."
25903                           014 "Linia"
25904                           017 "Rodzaj:"
25906                           017 "Kolor:"
25908                           016 "Prognoza"
25909                           016 "WÍze≥ interpol."
26000                           021 "Etykiety danych"
26001                           021 "Etykiety danych"
26002                           015 "Brak"
26003                           020 "Wyúwietl. wartoúci"
26004                           022 "Wyúwietlanie procentu"
26005                           020 "Wyúwietl. etykiety"
26006                           032 "Wyúwietlanie etykiety i procentu"
26007                           026 "Wyúw. wlk. wykresu bπbelk."
26009                           030 "Wyúwietlanie etykiety i wart."
26010                           029 "Wyúwietlanie wartoúci X i Y"
26011                           036 "Wyúw. etykiety i wlk. wykresu bπbel."
26100                           016 "Legenda"
26101                           014 "Typ"
26103                           027 "Refer. wykresy bπbelkowe"
26104                           018 "Wyúwietlanie"
26105                           024 "Maksymalna wielkoúÊ:"
26108                           019 "Poz/WlkMoølDoZmiany"
26109                           025 "Ukryte"
26200                           014 "Linia"
26201                           014 "Linia"
26202                           020 "Automatycznie"
26203                           017 "Zdef. przez uøyt."
26204                           017 "Rodzaj:"
26206                           017 "Kolor:"
26208                           017 "Wyg≥adzanie"
26209                           016 "Zaznaczenie"
26210                           020 "Automatycznie"
26211                           015 "Brak"
26212                           017 "Zdef. przez uøyt."
26213                           017 "Rodzaj:"
26215                           022 "Pierwszy plan:"
26217                           022 "T≥o:"
26219                           016 "Rozmiar"
26222                           016 "Prognoza"
26223                           016 "W.szczyt.:"
26226                           016 "WielkoúÊ:"
26227                           017 "GruboúÊ:"
26300                           016 "P≥atnoúci"
26301                           020 "Kategoria:"
26303                           026 "Formaty liczby:"
26305                           016 "Prognoza"
26306                           016 "Statyczny"
26307                           025 "Format liczby:"
26400                           015 "Forma"
26401                           017 "Formy:"
26500                           017 "Wzorzec"
26501                           014 "Wype≥nianie"
26502                           020 "Automatycznie"
26503                           016 "Kolor"
26504                           018 "Szablon"
26505                           019 "Stop.int.kol."
26506                           018 "Struktura"
26507                           016 "Statyczny"
26509                           016 "Statyczny"
26511                           016 "Statyczny"
26513                           022 "Efekty 3D"
26514                           016 "Ramka"
26515                           020 "Automatycznie"
26516                           017 "Zdef. przez uøyt."
26517                           017 "Rodzaj:"
26519                           017 "Kolor:"
26521                           017 "Cieniowanie"
26522                           016 "Prognoza"
26523                           022 "Przejrzysty"
26525                           018 "Wzorzec:"
26526                           015 "Ekran"
26527                           025 "Otwarcie obrazka..."
26600                           019 "Linia trendu"
26601                           031 "Typ trendu/regresji"
26603                           026 "Nazwa linii trendu:"
26605                           020 "Automatycznie"
26606                           018 "Trend"
26607                           019 "W przÛd:"
26610                           020 "Wstecz:"
26613                           019 "Okresy:"
26616                           036 "Wyúwietlenie formu≥y na wykresie"
26700                           015 "Skalowanie"
26701                           015 "Skalowanie"
26702                           029 "Skalowanie osi kategorii"
26703                           033 "Oú wartoúci przecina przy:"
26705                           057 "Liczba kategorii pomiÍdzy etykietami kresek osi czasu:"
26707                           051 "Liczba kategorii pomiÍdzy kreskami osi czasu:"
26709                           048 "Oú wartoúci przecina pomiÍdzy kategoriami"
26710                           038 "Kategorie w odwrotnej kolejnoúci"
26712                           020 "Automat."
26713                           040 "Liczba widocznych kategorii:"
26715                           036 "Rozpocz. przy nr kategorii:"
26800                           015 "Skalowanie"
26801                           027 "Skalowanie osi szeregÛw"
26802                           053 "Liczba serii pomiÍdzy etykietami kresek osi czasu"
26804                           047 "Liczba serii pomiÍdzy kreskami osi czasu:"
26806                           034 "Serii w odwrotnej kolejnoúci"
26900                           015 "Skalowanie"
26901                           026 "Skalowanie osi wartoúci"
26902                           016 "Typ:"
26904                           021 "Odst.: Oú czasu-wykr."
26907                           014 "Automat."
26908                           019 "Minimum:"
26911                           019 "Maksimum:"
26914                           022 "G≥Ûwny przedzia≥:"
26919                           018 "Format:"
26921                           022 "Przedzia≥ pomoc.:"
26926                           018 "Format:"
26928                           036 "Oú kategorii przecina przy:"
26931                           034 "Wartoúci w odwrotnej kolejnoúci"
26933                           025 "SzerokoúÊ dnia:"
26936                           027 "Podglπd rozp. siÍ od:"
26938                           030 "Linia dla aktualnego czasu"
26939                           035 "Ca≥k. wyúwietlanie jedn. czasu"
26940                           027 "Zazn. kolorem dni úwiπt."
26942                           015 "Data:"
27000                           017 "Opcje"
27001                           016 "Statyczny"
27005                           038 "Rozmiar drugiej powierzchi rysunku"
27008                           016 "StopieÒ"
27009                           023 "G≥ÍbokoúÊ wykresu:"
27013                           039 "Druga powierzchnia rysunku zawiera:"
27016                           016 "Wartoúci"
27018                           031 "RozrÛøn. kolorem punktÛw danych"
27019                           025 "Linie rozpiÍtoúci"
27020                           023 "Odchylenie dodat./ujem."
27021                           026 "Przedstaw. wielkoúÊ"
27022                           030 "Obszar wykr. bπbelk."
27023                           034 "årednica wykresÛw bπbelk."
27024                           024 "Podzia≥ serii przez:"
27026                           036 "Dodat./ujem. powierz. odchyl."
27027                           022 "Obszary wartoúci"
27029                           017 "Dodawanie..."
27030                           018 "Przetwarzanie..."
27031                           017 "Usuwanie"
27033                           024 "Najpierw linie na gÛrze"
27034                           020 "Automatycznie"
27100                           020 "Typ wykresu"
27101                           022 "Typ wykresu:"
27103                           025 "Podtyp wykresu:"
27105                           033 "Przypis. do wszyst. serii danych"
27200                           015 "WartoúÊ"
27201                           018 "Oú X:"
27204                           018 "Oú Y:"
27207                           020 "årednica:"
27300                           021 "Zakres wartoúci"
27301                           017 "Minimum"
27302                           017 "Tytu≥:"
27304                           020 "Automatycznie"
27305                           019 "Niewidoczne"
27306                           016 "WartoúÊ:"
27309                           017 "Maksimum"
27310                           017 "Tytu≥:"
27312                           020 "Automatycznie"
27313                           019 "Niewidoczne"
27314                           016 "WartoúÊ:"
27317                           017 "Optimum"
27318                           017 "Tytu≥:"
27320                           019 "Automatycznie"
27321                           019 "Niewidoczne"
27322                           016 "WartoúÊ:"
27325                           020 "Pozycja:"
27326                           020 "Pozycja:"
27327                           020 "Pozycja:"
27400                           015 "Tytu≥"
27401                           015 "Wykres"
27403                           028 "Oú kategorii (X):"
27405                           025 "Oú wartoúci (Y):"
27407                           038 "DrugorzÍdna oú kategorii (X):"
27409                           035 "DrugorzÍdna oú wartoúci (Y):"
27411                           019 "Moøl.do przes."
27412                           019 "Moøl.do zm."
27413                           017 "Tytu≥:"
27414                           017 "Tytu≥:"
27415                           017 "Tytu≥:"
27416                           016 "Tytu≥:"
27417                           016 "Tytu≥:"
27418                           016 "Jednostka:"
27419                           016 "Jednostka:"
27420                           015 "Jednostka:"
27421                           015 "Jednostka:"
27500                           020 "Tab. danych"
27501                           026 "Wyúwietl. tabeli danych"
27502                           027 "Wyúw. symbolu legendy"
27600                           029 "Rozk≥ad standardowy"
27601                           029 "Oznaczenie:"
27603                           020 "Automatycznie"
27604                           016 "Wart. úred.:"
27606                           030 "Odchylenie standard.:"
27608                           032 "Wyúwietlanie nazwy na wykresie"
27700                           019 "∆wiartki"
27701                           016 "Punkt úrodkowy"
27702                           018 "Oú X:"
27705                           018 "Oú Y:"
27708                           016 "Kolory"
27709                           019 "W gÛrÍ na lewo:"
27711                           020 "W gÛrÍ na prawo:"
27713                           023 "W dÛ≥ na lewo:"
27715                           023 "W dÛ≥ na prawo:"
27719                           018 "Widoczny"
27800                           028 "Zakres wart.-serie dan."
27801                           016 "Od:"
27804                           014 "Do:"
27807                           017 "Kolor:"
27900                           017 "Opcje"
27901                           019 "Kolumny:"
27903                           015 "Linie"
27906                           017 "Tytu≥:"
27908                           018 "Widoczny"
27910                           018 "Pozycja"
27911                           017 "Zdef. przez uøyt."
27912                           020 "Automatycznie"
27913                           019 "Moøl.do przes."
28000                           017 "Opcje"
28001                           017 "Tytu≥:"
28003                           018 "Widoczny"
28004                           017 "SzerokoúÊ:"
28007                           020 "Automatycznie"
28008                           021 "WyrÛwnanie:"
28010                           016 "Typ:"
28012                           029 "Edycja dozwolona"
28100                           017 "Opcje"
28101                           028 "Dostos. wielk. obiektÛw"
28103                           024 "Widoczne linie:"
28106                           030 "Wyúw. pustych wartoúci"
28107                           021 "Nie"
28108                           022 "Interpol."
28109                           014 "Zero"
28200                           016 "Przycisk"
28201                           016 "Tytu≥:"
28203                           017 "SzerokoúÊ:"
28206                           018 "WysokoúÊ:"
28209                           025 "OdstÍp pionowy:"
28212                           028 "OdstÍp poziomy:"
28216                           020 "Pozycja:"
28300                           014 "KomÛrka"
28301                           020 "Symbol legendy"
28302                           018 "Seria:"
28305                           017 "Punkt:"
28308                           021 "Tablice uøytkownika"
28400                           017 "Wskaünik"
28401                           023 "Etykieta wskaünika"
28402                           017 "Etykieta:"
28500                           017 "Opcje"
28501                           018 "Pozycja"
28502                           019 "W gÛrÍ na lewo"
28503                           020 "W gÛrÍ na prawo"
28600                           017 "Opcje"
28601                           018 "Pozycja"
